iter	Passed	Remaining
0	22	6856
1	41	6133
2	62	6234
3	82	6110
4	103	612355	125	612766	146	613177	162	591388	178	577599	193	5607110	209	5509111	225	5405112	241	5341113	259	5301114	287	5460115	295	5241116	322	5372117	343	5371818	360	5331919	388	5438
20	402	5347
21	408	5162222	420	50623	433	4980
24	464	5105
25	488	5152
26	515	5208
27	534	5194
28	563	5269
29	584	5256
30	617	5361
31	639	5352
32	664	5379
33	693	5428
34	713	5403
35	736	5402
36	756	5376
37	774	5337
38	788	5280
39	821	5338
40	836	5281
41	854	5251
42	876	5241
43	900	5241
44	925	5241
45	946	5228
46	963	5187
47	982	5159
48	1000	5127
49	1016	5082
50	1033	5045
51	1054	5028
52	1086	5064
53	1114	5078
54	1147	5112
55	1162	5063
56	1174	5006
57	1191	4970
58	1205	4924
59	1220	4882
60	1238	4851
61	1256	4824
62	1274	4795
63	1288	4751
64	1308	4731
65	1322	4689
66	1339	4659
67	1354	4620
68	1368	4581
69	1382	4543
70	1402	4523
71	14172	141872	14373	144873	14574	146774	14775	1494	4406
76	1518	4397
77	1538	4378
78	1558	4361
79	1579	4344
80	1605	4339
81	1633	4342
82	1657	4332
83	1685	4334
84	1708	4321
85	1736	4322
86	1750	4284
87	1770	4265
88	1790	4245
89	1809	4222
90	1838	4222
91	1872	4232
92	1905	4241
93	1928	4226
94	1950	4208
95	1971	4190
96	1989	4163
97	2015	4154
98	2042	4147
99	2084	4169
100	2122	4182
101	2138	4151
102	2157	4125
103	2172	409104	2198	4082
105	2259	4135
106	2309	4165
107	2346	4171
108	2433	4263
109	2494	4308
110	2536	4318
111	2585	4339
112	2635	4361
113	2669	4354
114	2699	4342
115	2724	4321
116	2741	4287
117	2762	4260
118	2788	4240
119	2809	4213
120	2820	4173
121	2838	4140
122	2851	4102
123	2869	4073
124	2879	4031
125	2889	3990
126	2902	3954
127	2911	3912
128	2924	3876
129	2938	3842
130	2957	3815
131	2973	3784
132	2986	3749
133	3002	3719
134	3017	3688
135	3032	3657
136	3047	3625
137	3064	3597
138	3077	3565
139	3090	3532
140	3102	3498
1141	3135	34881142	3182	3494
143	3200	3467
144	3218	3440
145	3237	3414
146	3258	3391
147	3276	3364
148	3294	3338
149	3314	33141150	3330	3285151	3353	3265
152	3406	3272
153	3439	3260
154	3487	3262
155	3530	3259
156	3568	3250
157	3593	3229
158	3632	3221
159	3664	3206
160	3706	3200
161	3734	3181
162	3791	3186
163	3815	3163
164	3834	3137
165	3853	3110
166	3880	3090
167	3917	3078
168	3958	3068
169	4001	3059
170	4054	3058
171	4074	3032
172	4094	3005
173	4127	2988
174	4150	2964
175	4173	2940
176	4195	2915
177	4224	2895
178	4259	2879
179	4285	2856
180	4306	2831
181	4321	2802
182	4340	2775
183	4365	2752
184	4443	2762
185	4464	2736
186	4484	2709
187	4509	2686
188	4518	2653
189	4536	2626
190	4548	2595
191	4564	2567
192	4585	2542
193	4607	2517
194	4616	2486
195	4629	2456
196	4642	2427
197	4661	2401
198	4681	2376
199	4697	2348
200	4710	2319
201	4725	2292
202	4741	2265
203	4754	2237
204	4764	2207
205	4778	2180
206	4792	2153
207	4807	2126
208	4821	2099
209	4835	2072
210	4850	2046
211	4862	2018
212	4876	1991
213	4888	1964
214	4900	1937
215	4918	1912
216	4934	1887
217	4949	1861

1740
219	4738	1722
220	4763	1702
221	4798	1685
222	4833	1669
223	4869	1652
224	4891	1630
4849	1616
225	4873	1595
226	4903	1576
227	4929	1556
9	1471
228	4678	1450
229	4694	1428
230	4709	1406
231	4728	1386
232	4742	1363
233	4755	1341
234	4768	1318
235	4782	1296
236	4797	1275
237	4813	1253
238	4828	1232
239	4845	1211
240	4848	1187
241	4857	1164
242	4869	1142
243	4881	1120
244	4890	1097
245	4908	1077
246	4921	1055
247	4938	1035
